origem_uf,destino_uf,distancia_km,peso_kg,tipo_carga,modal,prazo_dias,frete_final_r$
RS,PR,1047,3675.98,Perecível,Rodoviário,11,3993.74
BA,BA,2273,14313.26,Industrial,Ferroviário,6,7454.51
SC,GO,1758,9393.54,Perecível,Ferroviário,3,9488.0
GO,RJ,2277,27127.65,Comum,Ferroviário,1,10438.43
BA,MG,2302,7661.33,Industrial,Aéreo,2,16847.52
GO,ES,235,9571.36,Industrial,Rodoviário,14,1149.46
RS,MG,959,16297.14,Frágil,Aéreo,14,6528.54
GO,MG,1593,29377.68,Perecível,Rodoviário,12,7418.75
PE,GO,1073,3110.91,Perecível,Aéreo,13,6774.72
SP,ES,1650,4495.03,Frágil,Aéreo,9,9756.27
RS,SC,722,21559.52,Frágil,Aéreo,8,4922.73
PE,MG,948,27900.04,Perecível,Rodoviário,9,4660.46
SP,SC,1870,9130.48,Frágil,Ferroviário,9,6820.45
PE,BA,351,17583.56,Inflamável,Rodoviário,6,2201.77
SC,PE,552,18986.98,Comum,Ferroviário,7,1820.44
GO,SC,571,29478.96,Industrial,Aéreo,6,4021.91
ES,SP,521,17406.0,Industrial,Ferroviário,5,1624.71
RS,ES,1228,3837.43,Comum,Ferroviário,8,4098.95
PE,MG,1204,1740.63,Perecível,Ferroviário,5,4400.64
RS,PE,1065,27366.46,Perecível,Rodoviário,11,5132.22
RS,RJ,2072,2599.35,Comum,Ferroviário,1,9233.94
ES,RJ,1825,21892.21,Comum,Aéreo,6,9976.34
RJ,SP,806,17391.45,Perecível,Aéreo,1,7960.18
RJ,SC,2421,25192.65,Comum,Ferroviário,5,7892.56
ES,ES,1839,11929.6,Perecível,Ferroviário,4,6921.11
RJ,GO,1460,22657.78,Frágil,Rodoviário,5,6225.41
SC,MG,2369,3225.96,Comum,Aéreo,12,13040.49
ES,ES,1123,15428.24,Comum,Aéreo,7,6570.93
RJ,PE,449,5092.69,Comum,Ferroviário,5,1771.2
MG,RS,1290,17525.8,Comum,Aéreo,13,7194.96
RJ,SP,160,13243.37,Perecível,Aéreo,10,957.96
RJ,SP,1819,6263.89,Comum,Aéreo,9,9487.73
MG,RS,2558,938.01,Perecível,Aéreo,5,16170.32
RJ,SP,1603,4965.68,Industrial,Ferroviário,7,5549.55
SP,SC,953,14779.51,Inflamável,Rodoviário,1,6452.15
RJ,MG,966,10337.27,Frágil,Aéreo,3,8428.76
GO,BA,370,21808.07,Frágil,Ferroviário,8,1792.58
RJ,GO,1631,23378.77,Frágil,Ferroviário,9,6771.99
PR,RS,2466,5208.74,Inflamável,Rodoviário,14,10963.83
RJ,PR,436,7616.11,Industrial,Ferroviário,7,1715.73
MG,RS,1165,28818.82,Comum,Ferroviário,11,4321.18
GO,MG,1950,21729.3,Inflamável,Ferroviário,3,11980.12
SC,SP,403,14485.35,Perecível,Rodoviário,7,1787.02
RS,RJ,1821,5567.81,Frágil,Ferroviário,3,9409.96
BA,PE,2103,24340.97,Industrial,Ferroviário,10,6829.7
ES,PR,606,13498.39,Comum,Rodoviário,2,3396.4
PE,RJ,1515,7798.61,Frágil,Rodoviário,4,5766.8
SP,SC,1674,1664.8,Industrial,Rodoviário,12,5681.38
PE,PR,139,26426.22,Frágil,Ferroviário,1,1085.21
SC,BA,1218,2068.36,Industrial,Ferroviário,3,5518.05
PR,SP,1479,12753.94,Frágil,Rodoviário,1,8711.78
RJ,MG,1836,17966.89,Frágil,Aéreo,2,16062.75
ES,ES,751,13661.7,Frágil,Rodoviário,8,2916.87
BA,ES,630,24731.41,Industrial,Rodoviário,14,3252.36
PR,SP,1356,11424.04,Inflamável,Ferroviário,2,8072.8
RJ,ES,1479,13891.26,Perecível,Aéreo,10,9653.64
ES,RS,1051,17093.5,Industrial,Ferroviário,10,3887.18
BA,SP,2616,976.67,Industrial,Ferroviário,9,8000.48
SC,MG,2331,6568.76,Perecível,Ferroviário,14,8993.48
MG,MG,2987,859.87,Industrial,Rodoviário,7,10586.8
PE,RS,2094,21560.25,Industrial,Aéreo,13,11799.4
RJ,RJ,1096,14521.26,Inflamável,Ferroviário,7,4629.95
SC,PR,1120,2409.45,Frágil,Rodoviário,2,5966.21
RS,MG,1873,7886.49,Frágil,Aéreo,1,15990.43
ES,ES,2259,27429.36,Frágil,Aéreo,11,14515.26
ES,PE,927,9758.12,Frágil,Rodoviário,10,4370.19
ES,SP,1191,24202.12,Perecível,Ferroviário,4,5433.86
RJ,SP,2016,25136.01,Inflamável,Ferroviário,12,8508.78
GO,ES,1997,26045.12,Industrial,Aéreo,5,10598.24
SP,MG,396,25999.71,Frágil,Aéreo,12,3211.48
MG,RJ,1760,3788.75,Comum,Ferroviário,7,5454.41
MG,PR,2306,6908.54,Industrial,Aéreo,13,12192.67
GO,ES,1027,10541.18,Perecível,Aéreo,8,6584.24
SC,SC,1080,9817.86,Inflamável,Ferroviário,2,6273.03
ES,MG,248,15322.73,Comum,Ferroviário,10,1322.37
GO,PR,2467,29277.79,Industrial,Ferroviário,12,8542.16
RS,GO,1752,2031.35,Inflamável,Aéreo,6,11585.45
SC,ES,639,20811.98,Perecível,Aéreo,12,4748.28
MG,RJ,2146,26035.19,Inflamável,Aéreo,4,16177.84
PE,BA,171,29949.98,Comum,Rodoviário,7,1209.71
MG,PE,1830,28836.45,Perecível,Aéreo,12,12382.62
MG,PE,2593,14765.07,Industrial,Ferroviário,9,8308.12
SC,MG,1776,11666.41,Perecível,Rodoviário,13,7862.96
SP,GO,1128,12144.77,Perecível,Aéreo,6,6934.41
PR,SC,941,17911.24,Perecível,Aéreo,8,6529.33
SC,BA,1312,477.28,Frágil,Rodoviário,14,4935.45
PE,SP,666,29156.99,Perecível,Aéreo,2,7438.88
RJ,ES,1001,17684.93,Perecível,Ferroviário,10,4383.06
RS,RS,1042,7866.22,Inflamável,Aéreo,6,7567.96
BA,GO,1246,13545.61,Inflamável,Aéreo,4,9601.4
ES,GO,2468,18865.16,Inflamável,Aéreo,10,17589.25
BA,SC,293,18295.09,Frágil,Rodoviário,5,1686.03
GO,PE,1918,13546.43,Industrial,Rodoviário,4,7468.52
SP,GO,1698,2497.46,Inflamável,Ferroviário,7,7095.74
SC,SC,275,2547.73,Inflamável,Ferroviário,10,1542.11
MG,PE,690,4492.05,Inflamável,Ferroviário,7,3327.15
PR,SP,507,22050.03,Perecível,Aéreo,7,3844.82
ES,MG,1537,19934.75,Perecível,Aéreo,13,11143.0
ES,GO,2813,27523.11,Inflamável,Ferroviário,8,11863.23
RJ,BA,1299,29954.13,Inflamável,Rodoviário,13,6967.47
ES,RJ,2302,225.97,Perecível,Aéreo,1,19890.86
PE,RJ,1964,4830.18,Perecível,Aéreo,8,12619.27
MG,MG,983,28939.66,Comum,Rodoviário,6,3789.27
MG,PR,2956,23281.95,Perecível,Ferroviário,9,11439.56
MG,RJ,837,3870.2,Perecível,Rodoviário,9,3600.55
MG,BA,261,26022.98,Inflamável,Aéreo,6,2251.39
BA,MG,2107,533.99,Industrial,Ferroviário,14,6752.83
ES,BA,168,11604.01,Comum,Ferroviário,12,462.39
RJ,GO,2479,339.04,Perecível,Aéreo,1,21873.17
GO,SP,504,20054.56,Inflamável,Rodoviário,10,2795.0
MG,MG,2433,17467.75,Industrial,Rodoviário,2,12399.89
PR,SC,2780,17945.09,Comum,Ferroviário,5,9768.92
SC,SC,284,11596.93,Perecível,Ferroviário,8,1315.88
SP,ES,2909,1606.04,Perecível,Aéreo,10,18163.02
MG,BA,1405,21211.84,Industrial,Ferroviário,9,5296.35
ES,MG,2543,20898.18,Comum,Ferroviário,11,8284.78
RJ,GO,2718,17238.14,Perecível,Rodoviário,6,11503.66
BA,SC,2101,14568.45,Perecível,Aéreo,8,13925.52
BA,GO,681,24304.78,Frágil,Aéreo,9,5328.41
GO,ES,503,2140.17,Inflamável,Aéreo,14,3271.08
GO,BA,2306,864.31,Inflamável,Aéreo,3,21722.66
RJ,SP,2734,21775.26,Inflamável,Ferroviário,9,11257.59
MG,PE,2237,27173.63,Frágil,Aéreo,10,14406.52
PR,ES,2169,1249.5,Comum,Aéreo,9,11768.04
RJ,MG,1742,1349.85,Comum,Aéreo,2,12374.93
RS,PE,221,19011.18,Frágil,Aéreo,9,2168.41
RS,PR,1071,27101.13,Frágil,Aéreo,2,10512.74
SP,RJ,2564,22409.79,Comum,Rodoviário,8,9424.77
GO,SC,177,7258.8,Frágil,Rodoviário,9,956.45
MG,PR,1472,12200.57,Inflamável,Rodoviário,1,9543.97
RJ,ES,198,2188.26,Inflamável,Rodoviário,14,989.96
MG,BA,1760,24614.41,Comum,Ferroviário,12,6173.92
BA,BA,593,6189.81,Perecível,Rodoviário,13,2102.84
MG,RS,539,20510.15,Perecível,Aéreo,2,5706.91
BA,PR,244,18843.41,Industrial,Ferroviário,6,1580.89
SP,GO,1588,8860.33,Inflamável,Rodoviário,3,10333.0
BA,PR,619,8535.53,Comum,Ferroviário,1,3276.78
GO,ES,238,6849.25,Industrial,Ferroviário,1,1443.33
ES,MG,2100,10339.92,Frágil,Aéreo,2,17706.56
SC,GO,2977,20157.86,Industrial,Rodoviário,11,10538.42
PR,BA,2178,14077.37,Frágil,Aéreo,10,13525.7
BA,PR,880,6319.45,Perecível,Aéreo,13,5348.58
RS,PR,937,8188.52,Frágil,Ferroviário,6,3388.72
GO,SC,634,4769.06,Comum,Rodoviário,13,2319.18
SC,MG,2398,2509.98,Comum,Aéreo,5,12347.46
ES,MG,647,9150.14,Perecível,Rodoviário,2,4305.48
